"StopUID","StopID","StopName.Zh_tw","StopName.En","StopPosition.PositionLat","StopPosition.PositionLon"
"THB-VO14-295621","95621","新港橋","Xingang Bridge","23.10799","121.38271"
"THB-VO14-295622","95622","芝田","Zhitian","23.11165","121.38595"
"THB-VO14-295748","95748","三仙國小","Sanxian Elementary School","23.12028","121.39298"
"THB-VO14-2136093","136093","高台","Gaotai","23.12219","121.39504"
"THB-VO14-2190508","190508","三仙台","Sanxiantai","23.12196","121.40278"
"THB-VO14-2135431","135431","白守蓮","Baishoulian","23.127945","121.40056"
"THB-VO14-2136096","136096","三仙橋","Sanxian Bridge","23.13073","121.39893"
"THB-VO14-2238993","238993","柑桔山","Ganjieshan","23.14468","121.39668"
"THB-VO14-2136098","136098","美山","Meishan","23.15103","121.39748"
"THB-VO14-295630","95630","北美山","Beimeishan","23.1532","121.39853"
"THB-VO14-295745","95745","忠孝國小","Zhongxiao Elementary School","23.15599","121.40006"
"THB-VO14-2135432","135432","小港","Xiaogang","23.15981","121.40182"
"THB-VO14-295744","95744","北小港","Beixiaogang","23.16113","121.4032"
"THB-VO14-2136103","136103","小港火葬場","Xiaogang Crematory","23.16656","121.40492"
"THB-VO14-295742","95742","玉水橋","Yushui Bridge","23.16946","121.40319"
"THB-VO14-2136105","136105","石雨傘","Shiyusan","23.17698","121.40059"
"THB-VO14-2136106","136106","南重安","Nanzhong-an","23.18532","121.39698"
"THB-VO14-2136107","136107","重安","Zhong-an","23.19193","121.39639"
"THB-VO14-295638","95638","北重安","Beizhong-an","23.19433","121.39548"
"THB-VO14-295741","95741","南宜灣","Nanyiwan","23.20756","121.39686"
"THB-VO14-2135433","135433","宜灣","Yiwan","23.2089","121.3992"
"THB-VO14-295740","95740","北宜灣","Beiyiwan","23.21064","121.40111"
